species,Brain size species mean,Body mass male mean,Body mass female mean,MeanGroupSize,InterbirthInterval (days),Gestation,WeaningAge_d,MaxLongevity_m,HomeRange_km2,,,
Nomascus_concolor,,7790.0,7620.0,,821.25,207,635.13,529.2,0.870,,,
Nomascus_gabriellae,119.38,7410.0,7320.0,,,,,,,,,
Nomascus_leucogenys,,,,,,,,,,,,
Nycticebus_bengalensis,13.49,1100.0,1020.0,,,,,,,,,
Nycticebus_coucang,10.13,679.0,626.0,1,365,188,181.21,318,,,,
Nycticebus_pygmaeus,,462.0,376.0,1,448,188,133,205.2,,,,
Otolemur_crassicaudatus,11.78,1190.0,1110.0,6,365,130,124.62,225.6,0.060,,,
Otolemur_garnettii,11.50,794.0,734.0,,215.95,132,139.2,204,0.120,,,
Pan_paniscus,341.29,45000.0,33200.0,85.1,1715.5,232,1081.31,576,27.930,,,
Pan_troglodytes,368.35,49566.7,40366.7,63.1,1825,229,1260.81,720,10.850,,,
Papio_anubis,167.42,23000.0,13300.0,57.7,752.81,178.96,596.6,302.4,4.830,,,
Papio_cynocephalus,163.19,22300.0,12000.0,55,669.16,172.99,450.42,540,14.950,,,
Papio_hamadryas,146.17,18000.0,10300.0,66.1,608.33,171,363.96,450,17.370,,,
Papio_ursinus,178.00,29800.0,14800.0,34.7,882.08,185.92,877.09,540,9.120,,,
Perodicticus_potto,12.42,802.1,867.9,2,354.05,170,149.15,312,0.110,,,
Phaner_furcifer,6.68,328.0,350.0,2,,174.46,,144,0.020,,,
Piliocolobus_badius,63.59,8360.0,8210.0,49.4,660.65,151.41,783.93,,0.420,,,
Piliocolobus_kirkii,57.25,5800.0,5460.0,32.4,,,,,0.326,,,
Piliocolobus_preussi,,,,,,195,,,0.390,,,
Piliocolobus_rufomitratus,,,,14.8,,195,,,0.113,,,
Piliocolobus_tephrosceles,70.95,9559.6,7258.0,34,,,,,0.650,,,
Pithecia_irrorata,,2250,2070,3.5,,,,,,,,
Pithecia_pithecia,32.26,1940.0,1580.0,5.5,448.03,158,113.15,248.4,0.128,,,
Pongo_abelii,389.50,84482.5,41148.0,,,,,,,,,
Pongo_pygmaeus,377.38,80136.9,36947.6,2,2007.5,249,1088.8,720,3.880,,,
Presbytis_comata,80.30,6680.0,6710.0,6,,,,,0.380,,,
Presbytis_melalophos,64.85,6554.3,6566.6,14.5,,,,192,0.120,,,
Procolobus_verus,52.60,4700.0,4200.0,,,167.84,,,0.560,,,
Propithecus_coquereli,30.19,3700.0,3757.0,5.5,365,140.99,180.96,,,,,
Propithecus_deckenii,30.15,3430.0,3633.3,4,,,,,,,,
Propithecus_diadema,39.80,6050.0,6210.0,5.38,745.2,157,256.27,,0.210,,,
Propithecus_edwardsi,39.49,5468.8,5895.0,4.6,,,,,4.000,,,
Propithecus_tattersalli,,3390,3590,4.1,,,152.13,240,0.060,,,
Propithecus_verreauxi,26.21,2930.0,2980.0,5,365,148,177.83,247.2,0.030,,,
Pygathrix_nemaeus,91.41,11000.0,8440.0,9.3,430.7,171,330,300,,,,
Rhinopithecus_avunculus,,,,,,200,,,10.000,,,
Rhinopithecus_bieti,,,,,,170,,,25.000,,,
Rhinopithecus_roxellana,117.76,17900.0,11600.0,,,199.34,,354,24.280,,,
Saguinus_bicolor,,428,430,7.5,,160,,228,,,,
Saguinus_fuscicollis,7.94,404.6,396.6,5.1,293.5,147,90.1,294,0.200,,,
Saguinus_geoffroyi,10.14,499.3,534.4,6.3,240.9,142,56,246,0.160,,,
Saguinus_imperator,,474.0,475.0,7,,145,,242.4,0.220,,,
Saguinus_leucopus,9.70,510.0,539.0,,,142.5,,182.4,,,,
Saguinus_midas,9.78,535.0,591.0,,206.83,127,69.6,184.8,0.050,,,
Saguinus_mystax,11.09,629.3,538.0,7,168.5,145,,240,0.210,,,
Saguinus_niger,9.48,380.0,370.0,,,,,,,,,
Saguinus_oedipus,9.76,416.6,445.1,5.8,233.06,178,49.85,277.2,0.060,,,
Saguinus_tripartitus,,,,5.5,,,,,,,,
Saimiri_boliviensis,,1020.0,750.0,60,,157.79,,363.6,,,,
Saimiri_oerstedii,25.07,897.0,680.0,55.3,,161,362.93,,0.100,,,
Saimiri_sciureus,24.14,855.0,742.5,38,383.25,161,177.41,324,0.680,,,
Semnopithecus_entellus,110.93,18144.0,11340.0,30.2,507.95,192,402.1,300,1.300,,,
Symphalangus_syndactylus,123.50,11880.0,10710.0,4,1003.75,231,635.38,456,0.313,,,
Tarsius_bancanus,3.16,128.0,123.0,,240.29,178,78.55,144,0.040,,,
Tarsius_dentatus,,,,,,,,,0.004,,,
Tarsius_syrichta,3.36,134.0,117.0,,,179,82.49,180,0.048,,,
Theropithecus_gelada,133.33,19000.0,11700.0,10,766.5,168,494.95,336,1.160,,,
Trachypithecus_auratus,,,,14.5,,,,373.2,0.030,,,
Trachypithecus_cristatus,57.86,6728.1,6059.7,32.4,,,362.93,373.2,0.120,,,
Trachypithecus_geei,81.30,10800.0,9500.0,13.3,,,,,2.220,,,
Trachypithecus_johnii,84.60,12000.0,11200.0,,,,,408,0.080,,,
Trachypithecus_obscurus,62.12,7346.9,6764.8,10.2,,145,362.93,300,0.330,,,
Trachypithecus_phayrei,72.84,7767.8,7182.0,,456.25,167,305.87,339.6,0.958,,,
Trachypithecus_pileatus,103.64,12247.0,11340.0,7.8,,,,302.4,0.430,,,
Trachypithecus_vetulus,61.29,7371.0,5103.0,7.9,783.83,211,245.78,276,0.020,,,
Varecia_rubra,31.08,3600.0,3340.0,4.19,,,,,,,,
Varecia_variegata,32.12,3630.0,3520.0,2.8,365,99,90.73,384,1.390,,,
